tag,value,step
accuracy,0.14285713070942765,0
loss,1.9466605484485626,0
accuracy_N,0.0,0
accuracy_R,0.0,0
accuracy_AFIB,0.0,0
accuracy_L,0.0,0
accuracy_AV,0.0,0
accuracy_AR,0.999999404762259,0
accuracy_PVC,0.0,0
train_loss,1.8498273379731884,1
train_loss,1.6637380199857283,2
train_loss,1.4783124640436456,3
accuracy,0.5374149202878469,3
loss,1.3301984071731567,3
accuracy_N,0.7916661954367884,3
accuracy_R,0.13095230300458155,3
accuracy_AFIB,0.517856834609027,3
accuracy_L,0.7559519309809934,3
accuracy_AV,0.7619043083902927,3
accuracy_AR,0.30952362528355637,3
accuracy_PVC,0.49404732497183035,3
train_loss,1.1447287567771307,4
train_loss,0.9430666580648708,5
train_loss,0.8683532553144017,6
accuracy,0.17261903294055841,6
loss,4.984158754348754,6
accuracy_N,0.06547615150229077,6
accuracy_R,0.07142852891158993,6
accuracy_AFIB,0.03571426445579497,6
accuracy_L,0.023809509637196646,6
accuracy_AV,0.0,6
accuracy_AR,0.05357139668369245,6
accuracy_PVC,0.958332762897165,6
train_loss,0.8138327549884817,7
train_loss,0.7651851786540282,8
train_loss,0.7561825723341198,9
accuracy,0.6309523272999722,9
loss,1.1361654897530873,9
accuracy_N,0.4880949475625312,9
accuracy_R,0.8928566113948742,9
accuracy_AFIB,0.624999627976412,9
accuracy_L,0.6607138924322069,9
accuracy_AV,0.8690471017576775,9
accuracy_AR,0.4107140412416421,9
accuracy_PVC,0.4702378153346337,9
train_loss,0.7161467259768218,10
train_loss,0.6908288407738848,11
train_loss,0.6636706751466981,12
accuracy,0.30442174282128037,12
loss,1.9972264269987745,12
accuracy_N,0.45238068310673624,12
accuracy_R,0.702380534297301,12
accuracy_AFIB,0.05357139668369245,12
accuracy_L,0.2142855867347698,12
accuracy_AV,0.11309517077668406,12
accuracy_AR,0.2440474737812656,12
accuracy_PVC,0.3511902671486505,12
train_loss,0.6564219419908994,13
train_loss,0.6199411653941223,14
train_loss,0.6071400567151531,15
accuracy,0.17091835281306525,15
loss,4.726308782895407,15
accuracy_N,0.05357139668369245,15
accuracy_R,0.011904754818598323,15
accuracy_AFIB,0.029761887046495804,15
accuracy_L,0.011904754818598323,15
accuracy_AV,0.023809509637196646,15
accuracy_AR,0.14880943523247903,15
accuracy_PVC,0.9166661210320708,15
train_loss,0.5377092499396591,16
train_loss,0.5093369904426064,17
accuracy,0.7789114983918795,17
loss,0.7867954472700754,17
accuracy_N,0.815475705073985,17
accuracy_R,0.7499995535716942,17
accuracy_AFIB,0.8928566113948742,17
accuracy_L,0.7142852891158993,17
accuracy_AV,0.9047613662134725,17
accuracy_AR,0.773809063208891,17
accuracy_PVC,0.6011901183392152,17
train_loss,0.5008366318917509,18
train_loss,0.5010640813720109,19
accuracy,0.788265239093092,19
loss,0.7742160161336263,19
accuracy_N,0.7499995535716942,19
accuracy_R,0.7321424213437968,19
accuracy_AFIB,0.8452375921204809,19
accuracy_L,0.7499995535716942,19
accuracy_AV,0.8869042339855749,19
accuracy_AR,0.7976185728460876,19
accuracy_PVC,0.7559519309809934,19
train_loss,0.4814187291235027,20
train_loss,0.48369845777454923,21
accuracy,0.7874148990293454,21
loss,0.8152174899975457,21
accuracy_N,0.815475705073985,21
accuracy_R,0.7857138180274893,21
accuracy_AFIB,0.8690471017576775,21
accuracy_L,0.7976185728460876,21
accuracy_AV,0.8809518565762758,21
accuracy_AR,0.7261900439344976,21
accuracy_PVC,0.6369043827950103,21
train_loss,0.4763201614565187,22
train_loss,0.46677750865421697,23
accuracy,0.7755101381368931,23
loss,0.8286530872186024,23
accuracy_N,0.7499995535716942,23
accuracy_R,0.8095233276646859,23
accuracy_AFIB,0.8452375921204809,23
accuracy_L,0.7380947987530959,23
accuracy_AV,0.9345232532599683,23
accuracy_AR,0.7559519309809934,23
accuracy_PVC,0.5952377409299161,23
train_loss,0.4627087077144347,24
train_loss,0.44343956154171804,25
accuracy,0.7789114983918795,25
loss,0.828535924355189,25
accuracy_N,0.7619043083902927,25
accuracy_R,0.7797614406181901,25
accuracy_AFIB,0.8928566113948742,25
accuracy_L,0.7202376665251985,25
accuracy_AV,0.8809518565762758,25
accuracy_AR,0.8035709502553867,25
accuracy_PVC,0.6130948731578136,25
train_loss,0.4188259122985424,26
train_loss,0.42745850087687526,27
accuracy,0.7891155791568385,27
loss,0.8283697217702866,27
accuracy_N,0.8214280824832842,27
accuracy_R,0.8095233276646859,27
accuracy_AFIB,0.8452375921204809,27
accuracy_L,0.8392852147111817,27
accuracy_AV,0.9345232532599683,27
accuracy_AR,0.6785710246601043,27
accuracy_PVC,0.5952377409299161,27
train_loss,0.4233257187032464,28
train_loss,0.42072665691375755,29
accuracy,0.7925169394118249,29
loss,0.809559201200803,29
accuracy_N,0.7857138180274893,29
accuracy_R,0.773809063208891,29
accuracy_AFIB,0.8869042339855749,29
accuracy_L,0.773809063208891,29
accuracy_AV,0.8928566113948742,29
accuracy_AR,0.7916661954367884,29
accuracy_PVC,0.6428567602043094,29
train_loss,0.42309690340615735,30
accuracy,0.7780611583281328,30
loss,0.8389798601468403,30
accuracy_N,0.8035709502553867,30
accuracy_R,0.7797614406181901,30
accuracy_AFIB,0.85118996952978,30
accuracy_L,0.7916661954367884,30
accuracy_AV,0.9464280080785666,30
accuracy_AR,0.7142852891158993,30
accuracy_PVC,0.5595234764741212,30
train_loss,0.41939320946388897,31
accuracy,0.7933672794755715,31
loss,0.7977283596992493,31
accuracy_N,0.7916661954367884,31
accuracy_R,0.7678566857995918,31
accuracy_AFIB,0.8988089888041733,31
accuracy_L,0.7619043083902927,31
accuracy_AV,0.8928566113948742,31
accuracy_AR,0.7857138180274893,31
accuracy_PVC,0.6547615150229077,31
train_loss,0.4263517658899327,32
accuracy,0.7874148990293454,32
loss,0.8121926635503769,32
accuracy_N,0.7916661954367884,32
accuracy_R,0.773809063208891,32
accuracy_AFIB,0.8809518565762758,32
accuracy_L,0.7857138180274893,32
accuracy_AV,0.9047613662134725,32
accuracy_AR,0.7619043083902927,32
accuracy_PVC,0.6130948731578136,32
train_loss,0.42528135639311054,33
accuracy,0.7831631987106124,33
loss,0.8312034010887147,33
accuracy_N,0.7857138180274893,33
accuracy_R,0.7797614406181901,33
accuracy_AFIB,0.8749994791669766,33
accuracy_L,0.7559519309809934,33
accuracy_AV,0.92261849844137,33
accuracy_AR,0.7916661954367884,33
accuracy_PVC,0.5714282312927195,33
train_loss,0.40867941693799337,34
accuracy,0.7865645589655987,34
loss,0.818403199315071,34
accuracy_N,0.7976185728460876,34
accuracy_R,0.7797614406181901,34
accuracy_AFIB,0.8749994791669766,34
accuracy_L,0.7499995535716942,34
accuracy_AV,0.9523803854878657,34
accuracy_AR,0.7499995535716942,34
accuracy_PVC,0.6011901183392152,34
train_loss,0.4113149164926887,35
accuracy,0.7874148990293454,35
loss,0.839783435066541,35
accuracy_N,0.8035709502553867,35
accuracy_R,0.7678566857995918,35
accuracy_AFIB,0.8690471017576775,35
accuracy_L,0.7916661954367884,35
accuracy_AV,0.9523803854878657,35
accuracy_AR,0.7797614406181901,35
accuracy_PVC,0.5476187216555228,35
train_loss,0.4138209203829859,36
accuracy,0.7874148990293454,36
loss,0.8219324499368668,36
accuracy_N,0.7976185728460876,36
accuracy_R,0.773809063208891,36
accuracy_AFIB,0.8928566113948742,36
accuracy_L,0.7857138180274893,36
accuracy_AV,0.9107137436227717,36
accuracy_AR,0.7499995535716942,36
accuracy_PVC,0.6011901183392152,36
train_loss,0.39790997794359023,37
accuracy,0.7874148990293454,37
loss,0.812050943573316,37
accuracy_N,0.8035709502553867,37
accuracy_R,0.7678566857995918,37
accuracy_AFIB,0.8869042339855749,37
accuracy_L,0.773809063208891,37
accuracy_AV,0.9047613662134725,37
accuracy_AR,0.7797614406181901,37
accuracy_PVC,0.5952377409299161,37
train_loss,0.40984197255998595,38
accuracy,0.7908162592843317,38
loss,0.814184660712878,38
accuracy_N,0.7857138180274893,38
accuracy_R,0.7797614406181901,38
accuracy_AFIB,0.8809518565762758,38
accuracy_L,0.7559519309809934,38
accuracy_AV,0.9345232532599683,38
accuracy_AR,0.7976185728460876,38
accuracy_PVC,0.6011901183392152,38
train_loss,0.4081223536245895,39
accuracy,0.7891155791568385,39
loss,0.8121971040964127,39
accuracy_N,0.7916661954367884,39
accuracy_R,0.7797614406181901,39
accuracy_AFIB,0.8869042339855749,39
accuracy_L,0.773809063208891,39
accuracy_AV,0.9285708758506691,39
accuracy_AR,0.7797614406181901,39
accuracy_PVC,0.5833329861113178,39
train_loss,0.4091409180719073,40
accuracy,0.788265239093092,40
loss,0.8125627040863037,40
accuracy_N,0.8095233276646859,40
accuracy_R,0.7678566857995918,40
accuracy_AFIB,0.8630947243483783,40
accuracy_L,0.7857138180274893,40
accuracy_AV,0.9047613662134725,40
accuracy_AR,0.7440471761623951,40
accuracy_PVC,0.6428567602043094,40
